date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:38	105113/105113	---M--	200	added ('OK')	image/jpeg	etag:%22595dc505-19a99%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15312922368_65016239b0_k-700x467.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15312922368_65016239b0_k-700x467.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:31:43	262637/262637	---M--	200	added ('OK')	image/jpeg	etag:%22595dc505-401ed%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15312922368_65016239b0_k-1200x800.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15312922368_65016239b0_k-1200x800.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:32:00	102976/102976	---M--	200	added ('OK')	image/jpeg	etag:%22595dc505-19240%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15318554340_37fbf7616c_k-700x467.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15318554340_37fbf7616c_k-700x467.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:32:16	234693/234693	---M--	200	added ('OK')	image/jpeg	etag:%22595dc505-394c5%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15318554340_37fbf7616c_k-1200x800.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15318554340_37fbf7616c_k-1200x800.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:32:21	121421/121421	---M--	200	added ('OK')	image/jpeg	etag:%22595dc506-1da4d%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15319475049_fc467e5874_k-1200x800.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15319475049_fc467e5874_k-1200x800.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:32:25	57122/57122	---M--	200	added ('OK')	image/jpeg	etag:%22595dc506-df22%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15319475049_fc467e5874_k-700x467.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15319475049_fc467e5874_k-700x467.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:32:41	92621/92621	---M--	200	added ('OK')	image/jpeg	etag:%22595dc507-169cd%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15476203536_73056113ee_k-700x467.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15476203536_73056113ee_k-700x467.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:32:54	207170/207170	---M--	200	added ('OK')	image/jpeg	etag:%22595dc507-32942%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15476203536_73056113ee_k-1200x800.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15476203536_73056113ee_k-1200x800.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:33:02	128810/128810	---M--	200	added ('OK')	image/jpeg	etag:%22595dc507-1f72a%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15495150831_0ef33acfe3_k-1200x800.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15495150831_0ef33acfe3_k-1200x800.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
19:33:05	60336/60336	---M--	200	added ('OK')	image/jpeg	etag:%22595dc507-ebb0%22	http://glanz.starkethemes.com/wp-content/uploads/2017/06/15495150831_0ef33acfe3_k-700x467.jpg	F:/httrack/wt/glanz.starkethemes.com/wp-content/uploads/2017/06/15495150831_0ef33acfe3_k-700x467.jpg	(from http://glanz.starkethemes.com/home-5-great-flowers/)
